1,Rate your impression of the credibility of this article,1,Somewhat low credibility,"The FDA has published conclusive proof on their website that the DTap vaccine can cause autism. According to the FDAâ€™s online Biologics Blood Vaccines document, a vaccine manufacturer admits on its package insert that their vaccination can cause autism as one of many adverse reactions. These adverse events reported during post-approval use of Tripedia vaccine...",NOW ITâ€™S OFFICIAL: FDA Announced That Vaccines Are Causing Autism! - InShapeToday
1,Rate your impression of the credibility of this article,1,Somewhat low credibility,"The FDA has published conclusive proof on their website that the DTap vaccine can cause autism. According to the FDAâ€™s online Biologics Blood Vaccines document, a vaccine manufacturer admits on its package insert that their vaccination can cause autism as one of many adverse reactions. These adverse events reported during post-approval use of Tripedia vaccine...",NOW ITâ€™S OFFICIAL: FDA Announced That Vaccines Are Causing Autism! - InShapeToday
1,Rate your impression of the credibility of this article,2,Medium credibility,"We advise against the use of coconut oil,"" the American Heart Association says in a new report.",Coconut oil isn't healthy. It's never been healthy.
1,Rate your impression of the credibility of this article,2,Medium credibility,"We advise against the use of coconut oil,"" the American Heart Association says in a new report.",Coconut oil isn't healthy. It's never been healthy.
1,Rate your impression of the credibility of this article,2,Medium credibility,CONFIRMED: E-CIGARETTES CAUSE A HORRIBLE INCURABLE DISEASE CALLED â€˜POPCORN LUNGâ€™. WORSE THAN LUNG CANCER!,CONFIRMED: E-CIGARETTES CAUSE A HORRIBLE INCURABLE DISEASE CALLED â€˜POPCORN LUNGâ€™. WORSE THAN LUNG CANCER!
1,Rate your impression of the credibility of this article,2,Medium credibility,The scene at the swim-up bar at the Mexican resort where Abbey Conner was pulled listless from the pool in January was full of young tourists last month when an attorney hired by Conner's family showed up.,Resorts in Mexico suspected of drugging tourists
1,Rate your impression of the credibility of this article,3,Somewhat high credibility,Much of the ice also appears to be thinner than normal â€” further signs of climate changeâ€™s effects on the region.,Arcticâ€™s Winter Sea Ice Drops to Its Lowest Recorded Level
1,Rate your impression of the credibility of this article,3,Somewhat high credibility,"At least 1,200 people have been killed and millions have been left homeless followingÂ devastating floods that have hit India, Bangladesh and Nepal, in one of the worst flooding disasters to have affected the region in years. International aid agencies said thousands of villages have been cut off by flooding with people being deprived ofÂ food and clean water for days.Â  South AsiaÂ suffers from frequent flooding during the monsoon season, which lastsÂ from June to September, but authorities have said this year's floods have been much worse.Â ","Floods in India, Bangladesh and Nepal kill 1,200 and leave millions homeless"
1,Rate your impression of the credibility of this article,3,Very high credibility,The bill would also mean insurers could consider having postpartum depression or surviving domestic abuse pre-existing conditions.,"Under the GOP's health plan, sexual assault could be considered a pre-existing condition"
1,Rate your impression of the credibility of this article,3,Very high credibility,"We physicians with all our training, knowledge and authority often acquire a rather large ego that tends to make it difficult to admit we are wrong. So, here it is. Iâ€¦",World Renowned Heart Surgeon Speaks Out On What Really Causes Heart Disease
